8277720896|28/7/2021|sunflower seed|6020|10|60200|1806.000000|58394.000000$
8277720896|28/7/2021|coconut|3600|25|90000|2700.000000|87300.000000$
8277720896|28/7/2021|cotton|6030|9|54270|1628.099976|52641.898438$
9876543210|28/7/2021|banana|2600|12|31200|936.000000|30264.000000$
9876543210|28/7/2021|coconut|3600|12|43200|1296.000000|41904.000000$
8765432109|28/7/2021|jowar|2800|33|92400|2772.000000|89628.000000$
7654321098|28/7/2021|moong|7250|11|79750|2392.500000|77357.500000$
9876543210|28/7/2021|ragi|3380|11|37180|1115.400024|36064.601562$
9876543210|28/7/2021|ragi|3380|1|3380|101.400002|3278.600098$
8277720896|29/7/2021|urad|6300|1|6300|189.000000|6111.000000$
8277720896|29/7/2021|ragi|3380|5|16900|507.000000|16393.000000$
